Order_ID,Order_Date,Product,Category,Quantity,Price,Revenue,Profit,Region
1,3/13/2019,Apple Watch,Accessories,4,1360,5440,1926.53,North
2,4/3/2020,Sony Headphones,Accessories,2,82886,165772,62165.54,West
3,10/23/2020,Sony Headphones,Accessories,4,60763,243052,54196.19,North
4,7/11/2019,Samsung Galaxy S23,Electronics,4,65425,261700,90787.71,West
5,9/10/2019,Sony Headphones,Accessories,1,54207,54207,13393.83,West
6,4/20/2020,Canon Camera,Electronics,1,26158,26158,7848.31,West
7,5/19/2020,Dell Laptop,Electronics,4,57386,229544,35393.91,East
8,6/16/2019,Sony Headphones,Accessories,3,42106,126318,45142.13,South
9,12/12/2019,HP Laptop,Electronics,1,74469,74469,22612.2,North
10,5/23/2020,Samsung Galaxy S23,Electronics,4,23983,95932,35445.96,West
11,1/2/2019,Dell Laptop,Electronics,1,67621,67621,15848.3,South
12,12/3/2020,Boat Earbuds,Accessories,2,53495,106990,37851.61,South
13,9/27/2019,Nike Shoes,Fashion,4,66197,264788,79757.44,East
14,12/25/2020,iPad,Electronics,4,1516,6064,968.46,West
15,7/7/2019,Samsung Galaxy S23,Electronics,5,87307,436535,135680.17,West
16,6/4/2020,Canon Camera,Electronics,5,51714,258570,92744.73,West
17,5/19/2019,iPhone 14,Electronics,4,3195,12780,5094.36,East
18,5/4/2020,iPhone 14,Electronics,3,62358,187074,38758.44,East
19,2/2/2019,Nike Shoes,Fashion,1,52751,52751,9718.01,West
20,6/30/2020,Apple Watch,Accessories,5,85151,425755,102441.18,North
21,1/5/2019,Dell Laptop,Electronics,5,8610,43050,9543.7,South
22,7/7/2020,Apple Watch,Accessories,3,706,2118,620.82,West
23,4/29/2020,Dell Laptop,Electronics,1,54768,54768,14943.85,East
24,2/5/2019,Apple Watch,Accessories,5,67714,338570,71476.26,North
25,7/10/2020,Apple Watch,Accessories,3,22799,68397,11461.67,South
26,9/11/2020,Canon Camera,Electronics,5,3193,15965,4563.86,West
27,12/14/2019,HP Laptop,Electronics,3,18547,55641,11024.71,North
28,9/24/2020,Apple Watch,Accessories,1,30580,30580,10489.44,West
29,10/10/2020,Canon Camera,Electronics,3,58553,175659,47834.26,South
30,1/9/2020,Sony Headphones,Accessories,1,14045,14045,4432.55,West
31,3/17/2020,iPad,Electronics,1,54884,54884,21063.21,West
32,9/16/2020,Puma T-shirt,Fashion,2,89974,179948,58443.59,West
33,8/8/2019,iPhone 14,Electronics,3,27236,81708,12733.89,South
34,2/7/2020,Apple Watch,Accessories,5,39123,195615,33828.39,South
35,12/10/2020,Samsung Galaxy S23,Electronics,5,51359,256795,73970.88,West
36,5/3/2019,Apple Watch,Accessories,4,53162,212648,44569.98,North
37,5/25/2020,Boat Earbuds,Accessories,5,52583,262915,40526.83,West
38,4/8/2020,iPhone 14,Electronics,1,42607,42607,11629.59,North
39,2/7/2020,Dell Laptop,Electronics,4,3311,13244,3054.18,South
40,5/3/2020,Dell Laptop,Electronics,3,11911,35733,8529.71,North
41,4/17/2020,iPad,Electronics,2,11611,23222,8490.42,South
42,5/24/2019,Apple Watch,Accessories,2,30806,61612,21124.44,South
43,10/31/2019,Canon Camera,Electronics,4,77871,311484,104282.57,South
